project_name,marketplace_id,nama_toko,is_active
Zhi Yang Yao,1,SP zhi yang yao official store,
Zhi Yang Yao,1,SP zhi yang yao,
Zhi Yang Yao,1,SP zhi yang yao official,
Zhi Yang Yao,1,SP zhi yang yao id,
Zhi Yang Yao,1,SP zhi yang yao shop,
Zhi Yang Yao,1,SP zhi yang yao indonesia,
Zhi Yang Yao,1,SP zhi yang yao mart,
Zhi Yang Yao,1,SP zhi yang yao store,
Zhi Yang Yao,2,TT zhi yang yao,
Zhi Yang Yao,11,LZ zhi yang yao,
Zhi Yang Yao,11,LZ zhi yang yao id,
Zhi Yang Yao,3,TP zhi yang yao official store,
Zhi Yang Yao,3,TP zhi yang yao,
Zhi Yang Yao,3,TP zhi yang yao store makassar,
Zhi Yang Yao,3,TP zhi yang yao official medan,
Juwara Herbal,1,SP juwara herbal official store,
Juwara Herbal,2,TT juwaraherbal,
Enzhico,1,SP enzhico shop,
Enzhico,1,SP enzhico store,
Enzhico,1,SP enzhico store indonesia,
Enzhico,1,SP enzhico shop indonesia,
Enzhico,1,SP enzhico indonesia,
Enzhico,1,SP enzhico authorize store,
Enzhico,1,SP enzhico,
Enzhico,2,TT enzhico authorized store,
Enzhico,11,LZ enzhico,
Enzhico,11,LZ enzhico store,
Enzhico,3,TP enzhico official store,
Erassgo,1,SP erassgo official,
Erassgo,1,SP erassgo official store,
Erassgo,1,SP erassgo.co,
Erassgo,1,SP erassgo makassar,
Erassgo,3,TP erassgo,
Erassgo,11,LZ erassgo,
Erassgo,11,LZ erassgo store id,
Kudaku,1,SP kudaku,
Kudaku,1,SP kudaku store,
Kudaku,1,SP kudaku official store,
Kudaku,1,SP kudaku id,
Kudaku,1,SP kudaku indonesia,
Kudaku,2,TT kudaku milk,
Kudaku,11,LZ kudaku,
